MatchID,EventID,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
62393,826,6903,6020,Booster Seat Gaming,Pho Real,2,1
62403,826,7046,7047,Bjor's Kittens,Mugiwara,2,0
62391,826,6461,6903,Akrew,Booster Seat Gaming,2,1
62396,826,6164,7043,Radiance,sameROFLMAO,2,0
62401,826,7045,7046,Salt and Vinegar,Bjor's Kittens,2,0
62402,826,7047,3545,Mugiwara,CLG Red,2,0
62355,843,4733,4680,True Rippers,T69,2,0
62389,826,6461,7042,Akrew,Squishy and Friends,2,0
62390,826,6903,6020,Booster Seat Gaming,Pho Real,2,0
62394,826,6164,7044,Radiance,Brolympics eSports,2,0
62395,826,7043,5482,sameROFLMAO,Kowareta,2,1
62399,826,7045,7047,Salt and Vinegar,Mugiwara,2,0
62400,826,7046,3545,Bjor's Kittens,CLG Red,2,0
62173,838,6384,4807,Clarity Esports,Team Arrow,2,0
62354,843,4829,5997,Team Valor,FS Esports ,2,1
62072,769,466,1919,BOOM Esports,Kingsmen,1,1
62172,838,4809,6477,Team Exploit,Fear Legends,2,0
62071,769,6799,6982,Goodfellas Gaming,Nine Esport,2,0
62085,769,4150,623,South Built Esports,Sharper Esport,1,1
62082,769,6389,6844,Bren Esports,shiba n the homies,1,1
62076,769,4325,6807,CERBERUS Esports,W Key,2,0
62084,769,4150,388,South Built Esports,DivisionX Gaming,1,1
62069,769,466,6799,BOOM Esports,Goodfellas Gaming,2,0
61811,825,642,6817,Luminosity,ex-FLICKBAITERS,2,1
61809,825,468,642,Renegades,Luminosity,1,2
61810,825,6817,6198,ex-FLICKBAITERS,Knights Academy,2,1
61805,825,6164,468,Radiance,Renegades,1,2
61806,825,1615,642,Knights,Luminosity,1,2
61807,825,6817,4455,ex-FLICKBAITERS,Third Impact,2,1
51964,768,1470,1471,NASR Esports,Team RA'AD,3,1
61797,825,6164,6856,Radiance,Icarus,2,0
61798,825,3337,468,Team Basilisk,Renegades,1,2
61799,825,1615,6045,Knights,Lenny Time,2,0
61800,825,642,6020,Luminosity,Pho Real,2,0
61801,825,6817,6707,ex-FLICKBAITERS,Gifted,2,0
61804,825,6198,6213,Knights Academy,Cloud9 Academy,2,0
61936,825,642,6707,Luminosity,Gifted,1,0
61942,825,1615,6986,Knights,Ex-Dallas Vendetta,1,0
61943,825,6653,6213,GunsForHire,Cloud9 Academy,1,0
61946,825,6859,468,Aspyre,Renegades,1,0
61947,825,6817,6020,ex-FLICKBAITERS,Pho Real,1,0
61949,825,6198,6934,Knights Academy,Minaweebs Money Crew,1,0
61922,825,6164,6045,Radiance,Lenny Time,1,0
61923,825,3337,5444,Team Basilisk,Bait Academy,1,0
61930,825,468,6879,Renegades,Zenigma Alpha,1,0
61931,825,6817,5038,ex-FLICKBAITERS,YFP Gaming,1,0
61933,825,6198,4455,Knights Academy,Third Impact,1,0
61912,825,6213,6679,Cloud9 Academy,Disciples ,1,0
61915,825,6817,6858,ex-FLICKBAITERS,Trash Pandas,1,0
61917,825,6198,6848,Knights Academy,Hugh Jass Construction,1,0
61407,819,6461,6817,Akrew,ex-FLICKBAITERS,2,0
61408,819,6204,2348,Nemesis,VIRTUOSO,2,1
61405,819,6461,6204,Akrew,Nemesis,2,0
61401,819,6461,6213,Akrew,Cloud9 Academy,2,0
61403,819,6164,2348,Radiance,VIRTUOSO,1,2
61397,819,6164,6651,Radiance,ex-Limit,2,0
61398,819,2348,4647,VIRTUOSO,Thanos Mug Academy(CoT),2,1
61396,819,5832,6204,Zero MarksMen Black,Nemesis,1,2
61399,819,6045,6148,Lenny Time,Project A,1,2
61394,819,6213,6992,Cloud9 Academy,CLB,2,0
61400,819,6817,6451,ex-FLICKBAITERS,Built By Gamers Academy,2,0
61393,819,6461,2378,Akrew,SUPER SQUAD,2,0
61372,819,6148,6707,Project A,Gifted,2,0
61377,819,2139,4647,303 Esports,Thanos Mug Academy(CoT),1,2
61357,819,4529,6651,IlluZion,ex-Limit,1,2
61362,819,2378,6991,SUPER SQUAD,Rose,2,0
61367,819,6990,3748,LFTval,Team Reckaroo,1,2
61382,819,6992,6782,CLB,Up Next,2,0
61387,819,6451,6912,Built By Gamers Academy,Bully Hunters,2,0
61392,819,6204,6989,Nemesis,Iconic,2,0
61355,819,6461,4529,Akrew,IlluZion,1,0
61360,819,6164,2378,Radiance,SUPER SQUAD,1,0
61361,819,6991,6388,Rose,ValorsGG,1,0
61370,819,5444,6148,Bait Academy,Project A,1,0
61375,819,6213,2139,Cloud9 Academy,303 Esports,1,0
61380,819,2348,6992,VIRTUOSO,CLB,1,0
61381,819,6782,6986,Up Next,Ex-Dallas Vendetta,1,0
61390,819,6817,6204,ex-FLICKBAITERS,Nemesis,1,0
61353,819,6461,6679,Akrew,Disciples ,1,0
61354,819,4529,6651,IlluZion,ex-Limit,1,0
61358,819,6164,6991,Radiance,Rose,1,0
61359,819,2378,6388,SUPER SQUAD,ValorsGG,1,0
61368,819,5444,5457,Bait Academy,Valkyrie,1,0
61369,819,6148,6707,Project A,Gifted,1,0
61373,819,6213,6848,Cloud9 Academy,Hugh Jass Construction,1,0
61378,819,2348,6782,VIRTUOSO,Up Next,1,0
61379,819,6992,6986,CLB,Ex-Dallas Vendetta,1,0
61383,819,6451,5601,Built By Gamers Academy,Nightblood Gaming,1,0
61384,819,5832,6912,Zero MarksMen Black,Bully Hunters,1,0
61388,819,6817,6664,ex-FLICKBAITERS,Oni Fans,1,0
61389,819,6204,6989,Nemesis,Iconic,1,0
61445,821,5997,4829,FS Esports ,Team Valor,2,0
61250,818,6144,4455,The Mafia,Third Impact,2,1
61246,818,6144,6213,The Mafia,Cloud9 Academy,2,0
61247,818,5444,4455,Bait Academy,Third Impact,1,2
61248,818,6817,5832,ex-FLICKBAITERS,Zero MarksMen Black,2,0
61249,818,6451,6478,Built By Gamers Academy,ex-Serenity Black,2,0
61290,812,4330,6776,Fancy United Esports,The Meaps,2,0
61238,818,6144,6986,The Mafia,Ex-Dallas Vendetta,2,1
61240,818,5444,6859,Bait Academy,Aspyre,2,0
61241,818,2348,4455,VIRTUOSO,Third Impact,1,2
61242,818,6817,6388,ex-FLICKBAITERS,ValorsGG,2,1
61244,818,6451,6417,Built By Gamers Academy,Fluid Gaming,2,0
61245,818,6478,6045,ex-Serenity Black,Lenny Time,2,0
61337,818,6144,6388,The Mafia,ValorsGG,1,0
61343,818,6213,2139,Cloud9 Academy,303 Esports,1,0
61344,818,6451,6707,Built By Gamers Academy,Gifted,1,0
61328,818,6451,4455,Built By Gamers Academy,Third Impact,1,0
61333,818,2348,6651,VIRTUOSO,ex-Limit,1,0
61307,818,5832,5482,Zero MarksMen Black,Kowareta,1,0
61308,818,6986,5038,Ex-Dallas Vendetta,YFP Gaming,1,0
61311,818,6148,6213,Project A,Cloud9 Academy,1,0
61312,818,6451,3748,Built By Gamers Academy,Team Reckaroo,1,0
61314,818,6817,6417,ex-FLICKBAITERS,Fluid Gaming,1,0
61288,812,4330,4324,Fancy United Esports,FEARUS,2,0
61289,812,6776,4860,The Meaps,DOMINUS,2,0
61412,820,1471,6994,Team RA'AD,wafflemakers,2,1
61413,820,6085,6993,3BL Esports,Dark Tempest,2,0
61563,822,6110,7001,Tactical Five,cismix,2,1
60971,809,4696,6534,Surreal Esports,Fire Flux Young,2,3
61047,812,6776,6970,The Meaps,Take It Easy,2,1
58500,786,918,879,Global Esports,Todak,3,0
61046,812,4324,6967,FEARUS,Homies Nexus,2,0
60970,809,6534,2908,Fire Flux Young,Thunderbolts Gaming,3,2
56822,784,1110,5366,Alter Ego,Action PH,3,0
60968,809,2908,6392,Thunderbolts Gaming,Eternal Fire,2,1
60967,809,4696,6092,Surreal Esports,Regnum Carya Esports,2,0
56828,784,5366,6899,Action PH,Fallen5,2,0
60860,809,4696,1453,Surreal Esports,OtherSide,1,0
60859,809,6534,4762,Fire Flux Young,Galakticos,1,0
60856,809,2908,5310,Thunderbolts Gaming,Fenerbahçe Esports,1,0
60659,811,6090,4940,TSM Academy,Pioneers,2,1
60660,811,6164,468,Radiance,Renegades,2,0
60655,811,6090,2350,TSM Academy,Soniqs,2,0
60657,811,6164,6451,Radiance,Built By Gamers Academy,2,0
60658,811,468,2348,Renegades,VIRTUOSO,2,0
60716,809,6092,2908,Regnum Carya Esports,Thunderbolts Gaming,1,0
60711,809,2036,5310,Besiktas Esports,Fenerbahçe Esports,1,0
56826,784,3652,6899,Morph Impact,Fallen5,1,2
60647,811,6090,3748,TSM Academy,Team Reckaroo,2,1
60648,811,6817,2350,ex-FLICKBAITERS,Soniqs,1,2
60649,811,6795,6653,Betrayed's Fantasy Team,GunsForHire,2,0
60650,811,4940,6651,Pioneers,ex-Limit,2,0
60651,811,6164,2139,Radiance,303 Esports,2,0
60652,811,6451,952,Built By Gamers Academy,Team Flux,2,0
60653,811,468,6020,Renegades,Pho Real,2,0
60654,811,6148,2348,Project A,VIRTUOSO,1,2
60777,811,4940,6213,Pioneers,Cloud9 Academy,1,0
