Map,WinnerFirstHalfRole,Count,Percent
Ascent,attack,1978,0.5116399379203311
Ascent,defend,1888,0.4883600620796689
Bind,attack,1778,0.5299552906110283
Bind,defend,1577,0.4700447093889717
Breeze,attack,331,0.5007564296520424
Breeze,defend,330,0.49924357034795763
Fracture,attack,49,0.45794392523364486
Fracture,defend,58,0.5420560747663551
Haven,attack,1806,0.517923716661887
Haven,defend,1681,0.482076283338113
Icebox,attack,1005,0.5169753086419753
Icebox,defend,939,0.48302469135802467
Split,attack,1217,0.5053986710963455
Split,defend,1191,0.4946013289036545
