Agent,AgentType,FirstKillsRate
Astra,Controllers,0.07136215241300381
Breach,Initiators,0.0584061762060868
Brimstone,Controllers,0.07670033265396953
Chamber,Sentinels,0.12509980166003146
Cypher,Sentinels,0.08061462278776042
Jett,Duelists,0.17837331978595589
Kayo,Initiators,0.08299129877769537
Killjoy,Sentinels,0.08073490500274381
Omen,Controllers,0.07866876636585236
Phoenix,Duelists,0.13554057099057948
Raze,Duelists,0.13971319622919995
Reyna,Duelists,0.14249790027345666
Sage,Sentinels,0.07942177319638209
Skye,Initiators,0.08128789587021265
Sova,Initiators,0.06552353259914127
Viper,Controllers,0.0808191841350016
Yoru,Duelists,0.13265268327361893
