Agent,AgentType,PlantsRate
Astra,Controllers,0.09126012814573699
Breach,Initiators,0.10998689226881794
Brimstone,Controllers,0.10947670560792483
Chamber,Sentinels,0.038429492464451244
Cypher,Sentinels,0.04429943502989829
Jett,Duelists,0.024075461904445945
Kayo,Initiators,0.06867273801861166
Killjoy,Sentinels,0.0554594960015156
Omen,Controllers,0.09313532556094063
Phoenix,Duelists,0.03625438346653977
Raze,Duelists,0.028778070551907033
Reyna,Duelists,0.023691279822917636
Sage,Sentinels,0.1402355259546527
Skye,Initiators,0.07730377921391646
Sova,Initiators,0.08396840915729906
Viper,Controllers,0.06471190181592879
Yoru,Duelists,0.03781793651110292
